Age Group,Gender,Income Level,Price Sensitivity,Flavor Preferences,Texture Preferences,Mood,Sweet vs Savory,Fav Beverage,Adventurousness,Western vs Eastern
35-44,Male,Medium,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
35-44,Male,Medium,Medium,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
25-34,Male,Medium,Medium,Matcha,Chewy,cozy,Medium Sweet Tolerance,Hot Choco,certainty,Eastern
18-24,Male,Medium,High,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
35-44,Female,Low,High,Sugar Cookie,Chewy,cozy,Medium Sweet Tolerance,Spiced Drink,certainty,Western
Under 18,Female,Medium,Medium,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
55+,Female,Medium,High,Sugar Cookie,Chewy,cozy,Medium Sweet Tolerance,Tea,certainty,Western
18-24,Female,Medium,Medium,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Tea,certainty,Western
18-24,Non-binary,High,Medium,Cinnamon,Crispy,cozy,High Sweet Tolerance,Spiced Drink,novelty,Western
18-24,Non-binary,Low,Low,Sugar Cookie,Chewy,cozy,Medium Sweet Tolerance,Tea,certainty,Western
45-54,Female,Low,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
Under 18,Female,Low,Low,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
45-54,Male,Low,Medium,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
18-24,Female,Medium,Medium,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
Under 18,Female,Low,Low,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
Under 18,Female,Medium,Medium,Almond,Chewy,energetic,Low Sweet Tolerance,Tea,certainty,Eastern
45-54,Female,Medium,High,Oatmeal,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
35-44,Male,High,Low,Sugar Cookie,Chewy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
18-24,Female,High,Medium,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
Under 18,Male,Medium,Low,Almond,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Eastern
35-44,Female,Medium,Low,Cinnamon,Chewy,cozy,High Sweet Tolerance,Spiced Drink,novelty,Western
Under 18,Female,Medium,Medium,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
45-54,Female,Medium,High,Sugar Cookie,Crispy,cozy,Medium Sweet Tolerance,Tea,certainty,Western
18-24,Female,Low,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
45-54,Male,Medium,Low,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Tea,certainty,Western
35-44,Female,High,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
55+,Female,Medium,Low,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
25-34,Male,High,Medium,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
35-44,Male,Low,High,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
18-24,Female,High,Low,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
45-54,Male,Low,Low,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
18-24,Female,High,Medium,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
45-54,Male,Low,Medium,Sugar Cookie,Chewy,cozy,Medium Sweet Tolerance,Spiced Drink,certainty,Western
25-34,Female,Medium,High,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
45-54,Male,Medium,Medium,Sugar Cookie,Chewy,relaxed,Medium Sweet Tolerance,Coffee,certainty,Western
35-44,Female,Medium,High,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
55+,Female,High,Low,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
Under 18,Female,Medium,Low,Sugar Cookie,Crispy,cozy,Medium Sweet Tolerance,Spiced Drink,certainty,Western
18-24,Female,Low,High,Sugar Cookie,Chewy,cozy,Medium Sweet Tolerance,Tea,certainty,Western
Under 18,Male,Medium,High,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
35-44,Male,Low,Medium,Almond,Crispy,energetic,Low Sweet Tolerance,Coffee,certainty,Eastern
18-24,Female,Medium,Medium,Almond,Crispy,energetic,Low Sweet Tolerance,Tea,certainty,Eastern
25-34,Female,Medium,High,Almond,Chewy,energetic,Low Sweet Tolerance,Tea,certainty,Eastern
35-44,Male,Medium,High,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
25-34,Male,Medium,High,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,novelty,Eastern
25-34,Female,Medium,Medium,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
18-24,Male,High,Medium,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
25-34,Male,Low,High,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
35-44,Female,Medium,Low,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
45-54,Female,Medium,Medium,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Tea,certainty,Western
35-44,Female,High,Medium,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
25-34,Female,Medium,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
Under 18,Female,Medium,High,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
35-44,Male,High,Low,Cinnamon,Chewy,cozy,High Sweet Tolerance,Spiced Drink,novelty,Western
Under 18,Male,High,High,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
25-34,Female,Low,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
45-54,Female,High,High,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Tea,certainty,Western
18-24,Female,High,Medium,Oatmeal,Crispy,cozy,Medium Sweet Tolerance,Tea,novelty,Eastern
35-44,Female,Medium,High,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
35-44,Female,Low,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
18-24,Male,Low,Low,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
45-54,Female,Low,High,Oatmeal,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
Under 18,Non-binary,Low,High,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
45-54,Male,High,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
Under 18,Female,Medium,Low,Oatmeal,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
55+,Male,Medium,Low,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
18-24,Female,Low,Low,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Tea,certainty,Western
18-24,Female,Medium,High,Sugar Cookie,Crispy,cozy,Medium Sweet Tolerance,Spiced Drink,certainty,Western
45-54,Male,Low,Medium,Almond,Chewy,energetic,Low Sweet Tolerance,Coffee,certainty,Eastern
55+,Female,High,Low,Sugar Cookie,Chewy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
18-24,Male,Low,Low,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
25-34,Male,Medium,Low,Sugar Cookie,Chewy,cozy,Medium Sweet Tolerance,Tea,certainty,Western
35-44,Non-binary,Medium,Medium,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
25-34,Non-binary,High,Low,Cinnamon,Chewy,cozy,High Sweet Tolerance,Spiced Drink,novelty,Western
18-24,Female,Medium,High,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
25-34,Male,Medium,High,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
35-44,Male,Low,Low,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
Under 18,Female,High,High,Sugar Cookie,Chewy,cozy,Medium Sweet Tolerance,Spiced Drink,certainty,Western
45-54,Female,Medium,Medium,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
25-34,Female,Low,High,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
25-34,Female,High,Medium,Oatmeal,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
35-44,Female,Medium,Low,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
Under 18,Female,Low,Low,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
25-34,Male,High,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
35-44,Female,Medium,Medium,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
35-44,Female,Medium,Low,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
45-54,Female,Low,Medium,Almond,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Eastern
25-34,Female,Medium,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
Under 18,Female,High,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
Under 18,Female,Low,Medium,Cinnamon,Crispy,cozy,High Sweet Tolerance,Spiced Drink,novelty,Western
18-24,Female,High,Low,Oatmeal,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
25-34,Male,Low,Low,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
25-34,Female,High,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
Under 18,Female,Medium,Medium,Cinnamon,Crispy,relaxed,Medium Sweet Tolerance,Spiced Drink,novelty,Western
18-24,Male,Medium,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
25-34,Male,Medium,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
Under 18,Non-binary,Medium,High,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Tea,certainty,Western
18-24,Female,High,High,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
25-34,Female,Medium,High,Sugar Cookie,Chewy,cozy,Medium Sweet Tolerance,Tea,certainty,Western
35-44,Male,High,Medium,Almond,Crispy,energetic,Low Sweet Tolerance,Coffee,certainty,Eastern
35-44,Male,Medium,High,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
45-54,Male,High,Medium,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
45-54,Female,Low,High,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
Under 18,Male,Medium,Medium,Sugar Cookie,Chewy,cozy,Medium Sweet Tolerance,Spiced Drink,certainty,Western
45-54,Female,Medium,Low,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
18-24,Female,High,Medium,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
18-24,Female,Medium,High,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
55+,Male,High,High,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
18-24,Female,Low,Medium,Sugar Cookie,Chewy,relaxed,Medium Sweet Tolerance,Tea,certainty,Western
45-54,Female,High,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
18-24,Female,Low,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
25-34,Male,Medium,High,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
Under 18,Female,Low,Medium,Almond,Crispy,energetic,Low Sweet Tolerance,Tea,certainty,Eastern
Under 18,Male,High,Low,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
35-44,Female,High,Low,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Hot Choco,certainty,Western
25-34,Male,Medium,Low,Sugar Cookie,Chewy,cozy,Medium Sweet Tolerance,Tea,certainty,Western
45-54,Female,Medium,High,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
18-24,Female,Medium,Medium,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
35-44,Non-binary,Medium,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
45-54,Non-binary,Low,Low,Sugar Cookie,Chewy,relaxed,Medium Sweet Tolerance,Tea,certainty,Western
Under 18,Female,Medium,Medium,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
Under 18,Male,Medium,Medium,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
18-24,Male,Medium,Low,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
45-54,Male,Medium,Medium,Cinnamon,Chewy,cozy,High Sweet Tolerance,Spiced Drink,novelty,Western
45-54,Male,High,Medium,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
Under 18,Female,Medium,High,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
25-34,Non-binary,Medium,Medium,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
Under 18,Non-binary,High,Medium,White Chocolate,Crispy,cozy,Low Sweet Tolerance,Tea,certainty,Eastern
55+,Male,Medium,High,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
Under 18,Male,Low,Low,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
45-54,Male,Medium,Low,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
Under 18,Female,High,Low,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
35-44,Female,Low,Low,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
55+,Female,Medium,Medium,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
55+,Male,Medium,Medium,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
Under 18,Non-binary,High,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
25-34,Female,Low,Low,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
18-24,Female,Low,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
35-44,Male,Medium,Medium,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
18-24,Female,Medium,Low,Almond,Chewy,energetic,Low Sweet Tolerance,Coffee,certainty,Eastern
35-44,Female,High,High,Oatmeal,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
25-34,Female,Medium,High,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
25-34,Male,Medium,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
55+,Male,High,High,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Tea,certainty,Western
35-44,Male,High,High,Almond,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Eastern
18-24,Male,Low,Medium,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
18-24,Male,Medium,High,Cinnamon,Chewy,cozy,High Sweet Tolerance,Spiced Drink,novelty,Western
18-24,Female,Medium,Low,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
45-54,Male,Medium,Medium,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
25-34,Male,Medium,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
Under 18,Female,Medium,High,Sugar Cookie,Chewy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
Under 18,Female,Low,Medium,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
25-34,Male,High,High,Almond,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Eastern
25-34,Female,Low,Medium,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
45-54,Male,Medium,Low,Sugar Cookie,Chewy,relaxed,Medium Sweet Tolerance,Tea,certainty,Western
25-34,Male,Low,Low,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
25-34,Female,High,Medium,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
25-34,Male,Medium,Medium,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
25-34,Male,Medium,Medium,Sugar Cookie,Crispy,cozy,Medium Sweet Tolerance,Spiced Drink,certainty,Western
45-54,Male,Low,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
25-34,Male,Medium,Medium,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
Under 18,Male,Medium,High,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
45-54,Female,Low,High,Sugar Cookie,Crispy,cozy,Medium Sweet Tolerance,Tea,certainty,Western
18-24,Non-binary,High,Low,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
18-24,Female,Low,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
45-54,Female,Medium,High,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
18-24,Female,Low,High,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
45-54,Non-binary,Low,High,Oatmeal,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
45-54,Male,Medium,Low,Sugar Cookie,Chewy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
18-24,Female,Medium,High,Cinnamon,Crispy,cozy,High Sweet Tolerance,Spiced Drink,novelty,Western
45-54,Male,Medium,Low,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
Under 18,Male,High,High,Almond,Chewy,energetic,Low Sweet Tolerance,Tea,certainty,Eastern
Under 18,Male,Medium,Low,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
25-34,Female,Medium,High,Cinnamon,Crispy,cozy,High Sweet Tolerance,Spiced Drink,novelty,Western
45-54,Male,Medium,Medium,Almond,Crispy,energetic,Low Sweet Tolerance,Coffee,certainty,Eastern
45-54,Female,Medium,Medium,Sugar Cookie,Crispy,cozy,Medium Sweet Tolerance,Tea,certainty,Western
35-44,Male,Medium,Low,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
45-54,Male,Medium,Low,Sugar Cookie,Crispy,cozy,Medium Sweet Tolerance,Tea,certainty,Western
55+,Female,Low,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
18-24,Non-binary,Low,Low,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
35-44,Male,Medium,High,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
45-54,Female,Low,Low,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
18-24,Male,Medium,High,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
45-54,Male,Low,Medium,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
55+,Female,Medium,High,Oatmeal,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
Under 18,Female,Medium,High,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
18-24,Male,High,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
18-24,Female,Medium,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
45-54,Male,High,High,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
18-24,Female,High,Low,Almond,Chewy,energetic,Low Sweet Tolerance,Coffee,certainty,Eastern
35-44,Male,Medium,High,Sugar Cookie,Chewy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
45-54,Female,High,Medium,Almond,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Eastern
25-34,Female,Low,High,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
55+,Male,High,High,Sugar Cookie,Chewy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
25-34,Non-binary,Medium,Medium,Sugar Cookie,Chewy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
55+,Female,Medium,High,Sugar Cookie,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Eastern
18-24,Non-binary,High,High,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
45-54,Male,Medium,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
25-34,Female,Medium,Low,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
18-24,Male,High,Low,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
25-34,Female,Medium,Medium,Cinnamon,Chewy,cozy,High Sweet Tolerance,Spiced Drink,novelty,Western
45-54,Female,Medium,Medium,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
Under 18,Male,Low,Medium,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
35-44,Male,Low,High,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
25-34,Non-binary,Low,Low,Almond,Crispy,energetic,Low Sweet Tolerance,Coffee,certainty,Eastern
25-34,Female,High,Low,Almond,Chewy,energetic,Low Sweet Tolerance,Coffee,certainty,Eastern
25-34,Female,Low,Low,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
18-24,Female,Medium,Low,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
18-24,Female,Medium,Medium,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
Under 18,Male,High,High,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
18-24,Female,Medium,Low,Oatmeal,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
Under 18,Female,Medium,Medium,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
25-34,Female,Medium,Medium,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
35-44,Female,Medium,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
35-44,Female,Medium,Low,Sugar Cookie,Crispy,cozy,Medium Sweet Tolerance,Tea,certainty,Western
35-44,Male,Low,Medium,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
45-54,Female,Medium,Low,Sugar Cookie,Chewy,cozy,Medium Sweet Tolerance,Tea,certainty,Western
25-34,Female,Low,Low,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
Under 18,Male,Medium,Low,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
18-24,Female,Medium,Medium,Almond,Crispy,energetic,Low Sweet Tolerance,Tea,certainty,Eastern
35-44,Female,Medium,Medium,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
18-24,Female,Low,Low,White Chocolate,Chewy,cozy,Low Sweet Tolerance,Hot Choco,certainty,Western
45-54,Non-binary,Low,High,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
18-24,Male,Medium,High,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
45-54,Male,Medium,Medium,Cinnamon,Crispy,cozy,High Sweet Tolerance,Spiced Drink,novelty,Western
25-34,Female,Low,High,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
18-24,Female,High,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
Under 18,Male,Medium,Medium,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
18-24,Female,Medium,Medium,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
35-44,Female,High,Medium,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
45-54,Male,Medium,High,Sugar Cookie,Chewy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
45-54,Male,Medium,High,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
45-54,Male,High,High,Cinnamon,Crispy,cozy,High Sweet Tolerance,Spiced Drink,novelty,Western
35-44,Female,Medium,Low,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
35-44,Male,Low,Low,Sugar Cookie,Crispy,cozy,Medium Sweet Tolerance,Spiced Drink,certainty,Western
Under 18,Female,Low,Low,Sugar Cookie,Crispy,cozy,Medium Sweet Tolerance,Spiced Drink,certainty,Western
25-34,Male,Low,High,Almond,Crispy,energetic,Low Sweet Tolerance,Smoothie,certainty,Eastern
45-54,Female,Medium,Medium,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
Under 18,Male,Low,High,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Tea,certainty,Western
Under 18,Male,High,High,Matcha,Chewy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
55+,Female,Low,Medium,Almond,Chewy,energetic,Low Sweet Tolerance,Coffee,certainty,Eastern
18-24,Male,Medium,Medium,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
18-24,Female,Medium,High,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
55+,Female,Medium,High,White Chocolate,Chewy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
45-54,Male,Medium,Medium,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
Under 18,Non-binary,Low,High,Sugar Cookie,Crispy,cozy,Medium Sweet Tolerance,Spiced Drink,certainty,Western
35-44,Male,High,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
